Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,_src,relevance_score
0,"Generosa Lukhayu Pritalia, Oktavianus Darren, Priadi Wibisono",Understanding User Adoption Of Indonesia’s Boarding House Rental App Through The Extended Technology Acceptance Model,2025,Jurnal Teknologi Sistem Informasi dan Aplikasi,Universitas Pamulang,https://doi.org/10.32493/jtsi.v8i3.44988,,90,2026-05-27 21:00:15,journal-article,10.32493/jtsi.v8i3.44988,2654-4229,,8,3,160,169,0,0.00,0,3,1,"The Mamikos mobile application has become a popular platform for housing seekers in Indonesia. It has garnered a rating of 4.1 on the Play Store and 4.7 on the App Store. However, the factors influencing user acceptance and usage of the Mamikos mobile application remain unclear. This study aims to examine these factors using the extended Technology Acceptance Model (TAM) approach. Data was collected using purposive sampling. The Lemeshow formula was employed to determine the appropriate sample size, resulting in 168 respondents. Data analysis was conducted using the Structural Equation Modeling - Partial Least Squares (SEM-PLS) method. The findings indicate that social trust has a significant positive influence on both perceived usefulness and perceived ease of use. Perceived ease of use, in turn, has a significant positive influence on both perceived usefulness and attitude towards use. Subjective norms exert a significant positive influence on attitude towards use. Perceived usefulness significantly impacts attitude towards use, which in turn significantly affects intention to use. Intention to use has a significant positive influence on actual system usage. However, subjective norms do not significantly influence perceived usefulness.",https://openjournal.unpam.ac.id/index.php/JTSI/article/download/44988/27711,,q2_crossref_house_only_fulltext.csv,8
0,"Jin Hyok Pak, Chol Jin Ma",AGABAC: Implementing and Evaluating an Attribute-Group Access Control Model for Secure Web-Based Spreadsheet Interfaces in Large-Scale e-Government Systems,2025,,Wiley,https://doi.org/10.22541/au.175851927.71637394/v1,,51,2026-05-27 21:14:56,posted-content,10.22541/au.175851927.71637394/v1,,,,,,,0,0.00,0,2,1,"The proliferation of large-scale e-government information systems has introduced complex challenges in securing access to vast and dynamic information resources. A critical trend is the integration of Web-based dynamic data style sheets, such as Web Excel, for flexible data manipulation and reporting. However, implementing granular and efficient access control for these interfaces remains a significant, unaddressed research problem. Traditional and existing attribute-based access control (ABAC) models suffer from administrative overhead due to the explosion of attribute relations (m×n×k) and lack a formal framework for defining permissions on spreadsheet elements (cells, ranges). This paper proposes the Attribute-Group ABAC (AGABAC) model to overcome these limitations. AGABAC introduces a novel attribute-grouping mechanism to minimize policy management costs and a secure authorization proxy framework for decentralized administration. Furthermore, it formalizes access control policies specifically for dynamic spreadsheet operations. We implemented a full prototype and evaluated AGABAC against standard ABAC and RBAC models. Our experimental results demonstrate that AGABAC reduces policy configuration time by over 47% compared to standard ABAC and maintains access decision latency below 15ms under a load of 10,000 concurrent users, proving its efficacy for secure and efficient access control in large-scale environments.",https://www.authorea.com/doi/pdf/10.22541/au.175851927.71637394/v1,,q4_crossref_rbac_webapp_core.csv,8
0,"Farhan Ibnu Al Hanif, Romi Bhakti Hartarto, Ibnu Hajar",The Effect of Campus Existence on Boarding House Rental Prices: A Case Study of Universitas Muhammadiyah Yogyakarta,2023,Journal of Economics Research and Social Sciences,Universitas Muhammadiyah Yogyakarta,https://doi.org/10.18196/jerss.v7i2.19225,,119,2026-05-27 21:00:15,journal-article,10.18196/jerss.v7i2.19225,2723-5327,,7,2,231,239,0,0.00,0,3,3,"The establishment of the Universitas Muhammadiyah Yogyakarta (UMY) campus has acted as a catalyst for economic expansion in the local neighborhoods, particularly evident in the real estate sector, characterized by the proliferation of boarding houses. This study endeavors to comprehensively examine the impact of the presence of Universitas Muhammadiyah Yogyakarta on the rental rates of boarding houses. The research's primary objective is to make a valuable contribution to the domain of property economics, utilizing secondary data derived from online platforms specializing in boarding house listings, notably Mamikos. A dataset encompassing 200 entries was gathered from the Mamikos website, encompassing variables such as boarding house rental fees, the proximity of the boarding houses to UMY, room dimensions, available facilities, and the categorization of boarding houses based on gender. The analysis of the dataset employs a multiple regression model, applying the Ordinary Least Square (OLS) technique. The findings derived from this study underscore several significant observations. Notably, the distance between the boarding house and the UMY campus displays a significant and, negative correlation with boarding house prices. This indicates that the rental rates of boarding houses tend to be higher the closer they are situated to the UMY campus. Conversely, factors such as room size and provided facilities exhibit a positive and considerable influence on the boarding house rental rates. Additionally, the study ascertains that gender-based differentiation does not lead to a significant variance in the rental charges between male and female boarding houses. In summary, this research effectively elucidates the intricate relationship between the proximity to UMY, room dimensions, facilities, and the rental pricing of boarding houses, thereby contributing valuable insights to the realm of property economics.",https://journal.umy.ac.id/index.php/jerss/article/viewFile/19225/8554,,q2_crossref_house_only_fulltext.csv,8
0,Bouadjemi Abbdelkrim,FORMAL DECISION MODELING FOR ROLE-BASED ACCESS CONTROL POLICIES,2023,Advances in Mathematics: Scientific Journal,Union of Researchers of Macedonia,https://doi.org/10.37418/amsj.12.3.4,,100,2026-05-27 21:14:56,journal-article,10.37418/amsj.12.3.4,1857-8365,,12,3,465,477,0,0.00,0,1,3,"Role-Based Access Control (RBAC) has been widely used in information systems, including so-called critical systems. In business, workflows are used to control the flow of processes. One of the major issues concerning these processes is to be able to verify that a proposed process model strictly corresponds to the specifications to which it is supposed to respond. Access control models describe the frameworks that dictate permissions. The RBAC model is generally static, i.e. the access control decisions are: grant or deny. Dynamic and flexible access control is required. In order to increase the flexibility of access control, the notion of decision has been proposed. Decisions execute the requirements to be fulfilled. The main of this article is to use the decision to produce a dynamic model. Our model augments the dynamics of the RBAC model. It allows dynamically assigning permissions. For illustration, Feather's meeting management system is used. Finally, first-order logic is used to analyze the validity of the proposed model.",https://www.research-publication.com/amsj/uploads/papers/vol-12/iss-03/AMSJ-2023-N03-04.pdf,,q4_crossref_rbac_webapp_core.csv,8
0,"Akas Bagus Setiawan, Eka Yuniar, Mas'ud Hermansyah, Mujiono Mujiono, David Juli Ariyadi","Decision Support System for Selecting the Best Rental House with Weight Product in Sidokare District, Sidoarjo Regency",2026,G-Tech: Jurnal Teknologi Terapan,"Fakultas Sains dan Teknologi, Unira Malang",https://doi.org/10.70609/g-tech.v10i1.8865,,26,2026-05-27 21:00:15,journal-article,10.70609/g-tech.v10i1.8865,2623-064X,,10,1,536,548,0,0.00,0,5,1,"The demand for rental housing in high-mobility areas such as Sidokare District, Sidoarjo Regency, continues to increase along with the region's economic development. However, prospective tenants often face difficulties in selecting the right rental house due to unstructured information and subjective decision-making processes. This study aims to develop a web-based Decision Support System (DSS) capable of providing objective and measurable rental housing recommendations. The method used is the Weighted Product (WP), a multicriteria decision-making technique that normalizes weights through multiplication operations. This system evaluates five rental housing alternatives based on eight main criteria, including price, location, facilities, security, and comfort. The results show that Sukun Rental House is the best alternative with the highest preference value of 0.0769. The practical implication of this study is the availability of an efficient digital tool for residents and students in Sidokare to compare various housing options transparently and quickly. This system successfully minimizes subjectivity in housing selection and helps users find the housing that best suits their financial priorities and functional needs.",https://ejournal.uniramalang.ac.id/g-tech/article/download/8865/5564,,q2_crossref_house_only_fulltext.csv,7
0,"Muhamad Daerobi, Abdul Wahab, Muhammad Bintang Raitama, Fauzan Muhamad Ahwan, Muhamad Ilham Alkhairi, Andre Fajar Ramadan, Muhammad Yusuf Ramadhani",PERANCANGAN SISTEM INFORMASI PONDOK PESANTREN DENGAN PENERAPAN ROLE-BASED ACCESS CONTROL DAN FITUR SOSIAL BERBASIS WEBSITE,2026,JATI (Jurnal Mahasiswa Teknik Informatika),LPPM ITN Malang,https://doi.org/10.36040/jati.v10i2.17789,,877,2026-05-27 21:14:56,journal-article,10.36040/jati.v10i2.17789,2598-828X,,10,2,3354,3361,0,0.00,0,7,1,"Pondok pesantren merupakan lembaga pendidikan yang memiliki sistem administrasi dan akademik yang kompleks, meliputi pengelolaan data user. Namun, masih banyak pondok pesantren yang menggunakan sistem manual sehingga berpotensi menimbulkan permasalahan dalam pengelolaan data dan keamanan informasi. Penelitian ini bertujuan untuk merancang dan membangun sistem informasi pondok pesantren berbasis website dengan penerapan Role-Based Access Control (RBAC) dan fitur sosial. Metode pengembangan sistem yang digunakan adalah metode waterfall yang meliputi tahap analisis kebutuhan, perancangan sistem, implementasi, dan pengujian. Sistem ini dirancang dengan beberapa peran pengguna, yaitu admin, user, dan public, yang masing-masing memiliki hak akses berbeda. Selain itu, sistem dilengkapi dengan fitur sosial berupa pengumuman dan forum diskusi untuk meningkatkan interaksi antar pengguna. Hasil penelitian menunjukkan bahwa sistem yang dibangun mampu meningkatkan efisiensi pengelolaan data serta keamanan akses informasi di lingkungan pondok pesantren. Dengan demikian, sistem informasi ini dapat menjadi solusi digital yang efektif bagi pondok pesantren.",https://ejournal.itn.ac.id/jati/article/download/17789/9290,,q4_crossref_rbac_webapp_core.csv,7
0,"Zaskia Darajat Wahab, Dedy Hendryadi, Sri Asfirawati Halik",HOUSE RENTAL INFORMATION SYSTEM AT BULUKUMBA REGENCY WITH WEBSITE BASED,2025,"Journal Informatika, Multimedia, and Infomation",Universitas Ichsan Sidenreng Rappang,https://doi.org/10.61912/lajutek.v3i1.129,,44,2026-05-27 21:00:15,journal-article,10.61912/lajutek.v3i1.129,2987-7377,,3,1,1,11,0,0.00,0,3,1,"This research aims to: (1) Design a website-based rental information system in the Bulukumba city area. (2) Implementing a website-based rental information system in the Bulukumba city area. (3) Knowing the response of users of the website-based rental information system in the Bulukumba city area. The research method used in this research is the System Development Life Cycle (SDLC) method with the Waterfall Model. It has several stages, namely: requirements analysis, design, implementation, testing, and maintenance. The data collection used was: Interviews, Literature Study and Documentation. The results of this research are: (1) This website-based rental information system was designed using the Unified Modeling Language (UML) and programmed using the PHP programming language so that it can make it easier and faster for customers to search for rentals. (2) Result of implementing a website-based rental information system in Bulukumba district, that is, with this website, it can provide fast service to potential customers when they want to rent a rental. (3) The results of testing the use of the system using a Likert scale obtained a score of 89.7% from 20 respondents, which is very positive.",https://journal.lajagoe.com/index.php/Lajutek/article/download/129/134,,q2_crossref_house_only_fulltext.csv,7
0,"Ahmad Hudawi, Nor Jaykiah, Ummi Lailatul Firdausi",Designing a Web-Based Digital Financial System for Islamic Boarding Schools with Payment Gateway Integration,2025,Journal of Electrical Engineering and Computer (JEECOM),Universitas Nurul Jadid,https://doi.org/10.33650/jeecom.v7i2.13019,,996,2026-05-27 21:10:36,journal-article,10.33650/jeecom.v7i2.13019,2715-6427,,7,2,514,526,0,0.00,0,3,1,"Financial management in Islamic boarding schools still faces various fundamental problems, particularly due to dependence on manual recording and simple applications. This management pattern often causes delays in report preparation, increases the potential for recording errors, and reduces transparency. This condition impacts the trust of students' guardians and stakeholders. In addition, the diversity of student guardians, including those from outside the region, further complicates the payment process due to limited access to remote transaction services. This situation highlights the urgency of developing a web-based digital financial system that can effectively integrate modern payment technology and adapt to the needs of Islamic boarding schools. This study aims to design and implement a digital financial system for Islamic boarding schools by integrating the Midtrans payment gateway to improve financial management's efficiency, transparency, and accountability. The method used is a model consisting of three main stages: data collection through observation and interviews with financial managers, system design using use case diagrams, activity diagrams, and class diagrams, and system testing with internal and external black box testing approaches. The system implementation utilizes the Laravel framework, MySQL database, and web-based interface with Login, Dashboard, student data, payment, and financial reporting features. The results show that the developed System can comprehensively address the financial management needs of Islamic boarding schools. External testing using a Likert scale questionnaire obtained a rating of Good-Very Good with an achievement of up to 86%, thus confirming the feasibility of the system implementation. This System has been proven to facilitate online payments, accelerate the report preparation process, and improve access to information for student guardians. Thus, a web-based digital financial system integrated with a payment gateway can be a strategic solution for enhancing the transparency and accountability of pesantren finances. Further research is recommended to strengthen data security, expand coverage to multiple pesantren, and conduct continuous testing on a broader scale",https://ejournal.unuja.ac.id/index.php/jeecom/article/viewFile/13019/pdf,,q3_crossref_house_txn_fulltext.csv,7
0,"Ulayya Salmaa Khoirunnisaa, Aditya Akbar Riadi, Evanita Evanita",PENERAPAN METODE ROLE-BASED ACCESS CONTROL PADA APLIKASI CUTI ONLINE DI YAYASAN AL-ACHSANIYYAH UNTUK STAF BERBASIS WEBSITE,2025,JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika),STKIP PGRI Tulungagung,https://doi.org/10.29100/jipi.v10i4.7084,,710,2026-05-27 21:14:56,journal-article,10.29100/jipi.v10i4.7084,2540-8984,,10,4,4009,4022,0,0.00,0,3,1,"Penerapan teknologi dalam pengelolaan cuti staf merupakan langkah untuk meningkatkan keefektifan administrasi cuti di Yayasan Al-Achsaniyyah. Permasalahan yang dihadapi meliputi proses pengelolaan cuti yang masih manual, rentan terhadap kesalahan, kurangnya transparansi, dan kurang optimal dalam arsip cuti. Penelitian ini bertujuan untuk membuat aplikasi cuti online berbasis website yang menerapkan metode Role-Based Access Control (RBAC) untuk mengatur akses pengguna berdasarkan peran, seperti pimpinan, kepala bagian, dan staf. Pengembangan aplikasi ini meggunakan Framework Laravel 11 dan metode pengembangan sistem model Waterfall. Metode Role-Based Access Control (RBAC) diterapkan melalui middleware untuk memastikan pengelolaan akses yang terstruktur dan sesuai dengan peran masing-masing pengguna. Pengujian sistem dilakukan menggunakan beberaapa pengujian seperti Black Box testing, User Acceptance Testing (UAT), pengujian performa, dan pengujian kompatibilitas. Hasil penelitian ini menunjukkan solusi bahwa aplikasi cuti online di Yayasan Al-Achsaniyyah berbasis website dapat mempercepat proses pengelolaan cuti termasuk meningkatkan transparansi, dan mengurangi kesalahan dalam administrasi cuti. Metode Role-Based Access Control (RBAC) yang diterapkan berhasil memberikan pegaturan akses yang terstruktur. Serta, berdasarkan hasil pengujian User Acceptance Testing (UAT) yang menghasilkan rata-rata 87% dan System Usability Scale (SUS) menghasilkan rata-rata 80% yang menunjukkan bahwa apalikasi ini dapat membantu dan menjadi solusi yang baik untuk pengelolaan cuti di yayasan menjadi lebih efektif.",https://jurnal.stkippgritulungagung.ac.id/index.php/jipi/article/viewFile/7084/3228,,q4_crossref_rbac_webapp_core.csv,7
0,"Babawale Patrick Okare, Tope David Aduloju, Olanrewaju Oluwaseun Ajayi, Okeoma Onunka, Linda Azah",A Role-Based Access Control Model for Multi-Cloud Data Pipelines: Governance and Compliance Perspective,2023,International Journal of Scientific Research in Civil Engineering,Technoscience Academy,https://doi.org/10.32628/ijsrce237318,,881,2026-05-27 21:14:56,journal-article,10.32628/ijsrce237318,2456-6667,,7,3,163,179,0,0.00,0,5,3,"The rapid adoption of multi-cloud architectures has introduced significant complexity in managing secure and compliant access to data pipelines that span diverse cloud platforms. Traditional Role-Based Access Control (RBAC) models, while effective in isolated systems, struggle to provide unified and governance-compliant access control across heterogeneous cloud environments. This paper proposes a layered, compliance-aware RBAC model designed specifically for multi-cloud data pipelines. The model introduces a role abstraction layer, policy harmonization mechanisms, and identity federation to enable consistent role definitions and cross-platform enforcement. Decoupling organizational roles from platform-specific configurations ensures scalable and auditable access control while maintaining the principle of least privilege. The model integrates seamlessly with native cloud tools such as AWS IAM, Azure RBAC, and Google Cloud IAM, and aligns with enterprise Identity and Access Governance (IAG) frameworks. It supports onboarding, role lifecycle management, policy translation, and continuous auditing to meet stringent regulatory requirements such as GDPR, HIPAA, and SOX. Practical implementation considerations and mitigation strategies are also discussed, addressing challenges such as role explosion, policy conflict, and trust boundary management. Finally, the paper explores future research directions, including dynamic access control extensions and zero-trust architecture integration. This RBAC framework provides both theoretical grounding and operational guidance for securing data pipelines in complex, regulated multi-cloud ecosystems.",https://ijsrce.com/index.php/home/article/download/IJSRCE237318/IJSRCE237318,,q4_crossref_rbac_webapp_core.csv,7
